ship_type,route_type,distance_nm,speed_knots,draft_m,cargo_weight_tonnes,weather_impact_index,fuel_consumption_tonnes,co2_emissions_tonnes
Ro-Ro Cargo,North Atlantic,7384.57,18.39,9.68,46422.86,0.0,312005.01,971583.61
Oil Tanker,Intra-Asia,2142.97,12.33,13.56,127523.77,0.2,72993.33,227301.22
Bulk Carrier,Asia-Europe,508.96,15.63,12.21,93311.88,0.8,27887.97,86843.14
Ro-Ro Cargo,Trans-Pacific,765.22,14.04,8.86,35572.9,0.2,16729.33,52095.13
Ro-Ro Cargo,Indian Ocean,1541.97,15.4,9.73,47160.18,0.2,48907.62,152298.33
Ro-Ro Cargo,Trans-Pacific,7486.77,14.28,8.81,34957.27,0.0,157805.5,491406.33
Ro-Ro Cargo,Trans-Pacific,4932.29,17.38,9.66,46150.46,0.0,185357.73,577203.96
Ro-Ro Cargo,North Atlantic,7514.96,18.1,7.74,23712.81,0.4,220070.93,685300.86
Container Ship,Trans-Pacific,4084.68,19.95,11.15,71053.6,0.2,238229.73,741847.39
Ro-Ro Cargo,Indian Ocean,9414.03,19.82,7.54,21915.34,0.6,330379.54,1028801.9
Ro-Ro Cargo,Intra-Asia,4969.79,15.95,6.98,17447.27,0.0,82264.23,256170.81
Bulk Carrier,Intra-Asia,3673.99,13.64,13.16,116664.51,0.0,143515.61,446907.6
Container Ship,North Atlantic,5041.14,17.08,9.35,41876.37,0.0,142923.2,445062.83
Oil Tanker,Trans-Pacific,9369.61,13.92,15.18,179026.33,0.0,480467.64,1496176.22
Container Ship,Intra-Asia,5668.68,22.2,14.3,149795.16,0.0,635012.47,1977428.83
Oil Tanker,North Atlantic,6954.3,12.1,14.47,154989.94,0.0,244857.84,762487.32
Container Ship,Trans-Pacific,3444.79,14.83,13.52,126607.54,0.0,153969.59,479461.3
Bulk Carrier,Intra-Asia,10801.28,11.21,10.89,66176.3,0.0,195229.46,607944.53
Ro-Ro Cargo,Indian Ocean,5219.4,15.5,9.58,45042.13,0.4,171831.32,535082.72
General Cargo,Intra-Asia,2354.04,11.16,5.77,9847.52,0.6,17074.52,53170.06
Container Ship,North Atlantic,3012.07,17.48,10.09,52659.31,0.0,104174.81,324400.37
Bulk Carrier,North Atlantic,10928.53,12.14,8.87,35720.44,0.0,153515.17,478046.24
Container Ship,Asia-Europe,579.95,22.33,13.92,138161.77,0.2,66007.76,205548.15
General Cargo,Asia-Europe,3307.44,11.08,7.83,24618.46,0.0,36904.38,114920.23
Ro-Ro Cargo,Trans-Pacific,11568.14,19.83,8.14,27636.15,0.0,402114.63,1252184.95
Oil Tanker,Trans-Pacific,924.2,12.14,12.27,94582.69,0.2,24982.66,77796.01
Ro-Ro Cargo,Trans-Pacific,10945.06,15.67,7.01,17647.32,0.0,176199.55,548685.39
General Cargo,North Atlantic,3283.64,13.94,7.28,19746.87,0.2,53112.51,165392.37
Oil Tanker,North Atlantic,5908.46,14.21,11.72,82369.27,0.8,233552.54,727282.6
Container Ship,Indian Ocean,8501.85,18.1,10.43,58086.11,0.6,397161.66,1236761.42
Oil Tanker,Indian Ocean,9809.26,13.84,11.5,77810.14,0.0,285663.84,889557.21
Container Ship,Indian Ocean,11272.39,16.64,13.39,122912.53,0.0,621833.54,1936389.64
Container Ship,Indian Ocean,10589.4,23.1,10.15,53616.82,0.0,647245.04,2015521.04
Bulk Carrier,Indian Ocean,3499.54,13.1,13.22,118288.16,0.8,157745.16,491218.42
General Cargo,North Atlantic,4398.84,12.53,8.33,29610.03,0.0,71047.62,221242.27
Ro-Ro Cargo,Indian Ocean,7883.36,18.68,9.54,44386.77,0.0,333445.63,1038349.68
Ro-Ro Cargo,Trans-Pacific,11311.53,16.23,8.77,34581.97,0.8,379405.24,1181467.93
Bulk Carrier,Indian Ocean,11936.26,12.69,11.13,70618.92,0.0,288719.18,899071.52
Container Ship,North Atlantic,4714.39,14.15,12.47,99267.25,0.4,182537.15,568420.69
Container Ship,Intra-Asia,6351.36,18.51,11.46,76967.3,0.2,336348.8,1047390.16
Oil Tanker,Indian Ocean,9640.33,13.52,16.2,217545.68,0.2,563609.26,1755079.25
Container Ship,Asia-Europe,3728.88,20.67,10.74,63429.16,0.0,204176.43,635805.42
Container Ship,Indian Ocean,3714.94,17.64,14.6,159346.06,0.6,323050.48,1005979.18
Container Ship,Indian Ocean,6856.8,15.97,14.45,154368.62,0.2,429799.93,1338396.98
Container Ship,North Atlantic,2695.48,15.67,9.86,49041.55,0.0,71444.68,222478.74
Bulk Carrier,Trans-Pacific,8504.34,15.62,11.48,77452.92,0.2,351179.49,1093572.94
Bulk Carrier,Asia-Europe,4209.33,11.77,9.81,48399.71,0.4,76273.6,237515.98
Oil Tanker,Trans-Pacific,3909.87,13.21,15.19,179453.49,0.0,180989.66,563601.82
Container Ship,Indian Ocean,559.63,12.98,13.03,113381.65,0.2,18864.02,58742.55
Container Ship,Indian Ocean,1083.84,16.76,9.82,48512.91,0.6,38513.8,119931.98
Bulk Carrier,Intra-Asia,913.34,13.47,8.64,33022.27,0.0,14993.95,46691.15
Bulk Carrier,North Atlantic,946.6,11.5,12.77,106598.84,0.0,24748.2,77065.89
Ro-Ro Cargo,Indian Ocean,3622.74,18.97,8.02,26452.84,0.8,138741.59,432041.3
General Cargo,Intra-Asia,8544.39,11.65,6.28,12665.12,0.0,67646.74,210651.95
Bulk Carrier,Indian Ocean,9644.64,11.94,11.28,73564.83,0.0,212133.77,660584.55
Bulk Carrier,Asia-Europe,11570.46,10.15,8.51,31531.81,0.4,117186.99,364920.27
Ro-Ro Cargo,Asia-Europe,2299.03,15.04,8.28,29086.49,0.0,47560.42,148103.16
General Cargo,Intra-Asia,8985.81,13.82,6.6,14718.41,0.2,117382.26,365528.35
Oil Tanker,Indian Ocean,9215.23,12.42,11.77,83528.05,0.0,226574.18,705552.01
General Cargo,Trans-Pacific,11764.37,11.25,5.85,10259.77,0.0,75476.66,235034.33
Bulk Carrier,Trans-Pacific,2491.82,12.84,11.16,71195.12,0.0,62044.42,193206.33
Bulk Carrier,North Atlantic,3500.28,15.32,13.1,115117.99,0.0,170904.22,532195.73
Bulk Carrier,Trans-Pacific,8365.58,13.24,11.21,72099.83,0.2,236585.73,736727.97
Container Ship,North Atlantic,9710.92,19.64,14.12,144063.87,0.2,879002.99,2737215.3
Ro-Ro Cargo,Asia-Europe,9937.35,18.87,7.32,20112.01,0.2,268156.58,835039.58
Container Ship,Trans-Pacific,3650.55,14.48,13.22,118178.17,0.0,148540.27,462554.4
General Cargo,Trans-Pacific,1318.67,12.73,5.85,10266.63,0.0,10849.24,33784.53
Bulk Carrier,Intra-Asia,3741.33,14.89,8.0,26234.11,0.0,64353.61,200397.15
Bulk Carrier,Asia-Europe,8953.32,15.26,11.81,84378.51,0.4,395160.36,1230529.35
Ro-Ro Cargo,Indian Ocean,9778.6,18.5,7.51,21678.07,0.8,312119.38,971939.76
Bulk Carrier,Indian Ocean,10471.84,13.48,9.79,48001.58,0.2,234308.88,729637.85
Container Ship,Asia-Europe,3239.72,20.88,13.34,121581.37,0.0,279304.48,869754.14
Ro-Ro Cargo,Indian Ocean,10798.52,15.92,9.39,42446.64,0.0,322048.13,1002857.89
General Cargo,Indian Ocean,4172.11,10.37,8.34,29729.17,0.8,57310.31,178464.31
Oil Tanker,Indian Ocean,1554.6,11.33,13.8,134549.34,0.2,46328.26,144266.21
Oil Tanker,Intra-Asia,9484.9,14.78,11.42,76247.4,0.0,310775.47,967754.82
Bulk Carrier,Intra-Asia,1142.52,15.98,13.19,117527.83,0.4,68884.48,214506.28
Oil Tanker,Asia-Europe,8412.35,14.87,15.17,178812.95,0.4,551560.17,1717558.38
General Cargo,North Atlantic,3059.63,11.7,8.19,28123.54,0.0,41647.99,129691.85
Bulk Carrier,Intra-Asia,3182.12,13.08,9.06,38074.06,0.2,57414.42,178788.51
Container Ship,Indian Ocean,10938.48,14.84,14.17,145643.2,0.2,569614.73,1773780.28
Ro-Ro Cargo,Trans-Pacific,6921.65,18.66,7.14,18672.02,0.0,164079.12,510942.36
Oil Tanker,Trans-Pacific,630.57,12.97,10.25,55129.08,0.0,12809.51,39888.82
Ro-Ro Cargo,Intra-Asia,7965.92,14.71,7.29,19802.17,0.4,136550.69,425218.86
